id,text,label_text,persona
a1f7be49-a831-4eba-8386-bcc4a5a9ed10,"I paid for that stupid purchase ages ago and you still haven’t dumped the money back into my account, this is freaking ridiculous!",Refund_not_showing_up,angry_layperson
3b8976d9-a225-4f0e-817e-3748b67f321f,I asked that store to give me my money back weeks ago and it still ain't showing up on my account—what the hell is going on?,Refund_not_showing_up,angry_layperson
9d597d19-62d4-4c27-a60c-d0cbcb8a8e03,I asked that stupid merchant to give me my cash back ages ago and it still ain’t showing up—what the hell is taking so long?!,Refund_not_showing_up,angry_layperson
474bf7c3-dcb8-438a-9f17-86ddf9a295b8,"I’ve been waiting forever for that cash they promised me after I sent it back, and nothing shows up anywhere—what the hell is taking so long with my money?!",Refund_not_showing_up,angry_layperson
082c043d-37c1-45ac-a01a-afc2cf1f021c,I sent back my purchase ages ago and you still haven’t put the cash in my account—what the hell is taking so long?,Refund_not_showing_up,angry_layperson
62638b66-e74b-4e81-8d07-47218c6c34ec,Refund not showing up I am panicking need the cash now please check my account immediately,Refund_not_showing_up,panicking_emergency
7bb759de-5e29-4727-8503-00b85e3ef9a3,Returned purchase yesterday money still missing account need it now,Refund_not_showing_up,panicking_emergency
9ad7db04-835c-469c-995d-39844169af3c,Refund missing from account I asked seller weeks ago nothing returned need money now urgent,Refund_not_showing_up,panicking_emergency
cc795eb5-8302-4dab-9f80-01ba8e36c89e,Refund from store still not in account urgent need cash now waiting days nothing showing please fix immediately,Refund_not_showing_up,panicking_emergency
94505c45-3712-47bc-9036-2b9e8c22faa6,Refund not in account urgent need the money I have been checking all day,Refund_not_showing_up,panicking_emergency
c49b0379-a2b3-4f5f-b352-b472a7d6784a,"I wish to bring to your attention that a merchant‑initiated refund, which was confirmed as processed on 12 April 2026, has not yet been reflected in my account balance; could you kindly investigate the status of this transaction and advise when the credited amount will appear?",Refund_not_showing_up,polite_expert
51faaca7-c6d9-4962-882c-cc3fb1543861,"I wish to bring to your attention that the reimbursement associated with the merchant transaction dated 12 March 2024 has not yet been credited to my account, and I would appreciate clarification on its status.",Refund_not_showing_up,polite_expert
ca8ab75d-f0d1-4ea5-bf4a-03976ed1a5cb,"Dear Sir or Madam, I wish to bring to your attention that a refund issued by a retailer on 12 March 2024 has not yet been credited to my account, and I kindly request your assistance in locating the outstanding credit and confirming when it will be posted.",Refund_not_showing_up,polite_expert
10cd561e-e7fe-4171-81dd-1e62f6260b8c,"I respectfully wish to bring to your attention that the refund expected from a recent transaction has not yet been reflected in my account ledger, and I would be grateful for an authoritative update on its processing status.",Refund_not_showing_up,polite_expert
6bb27a9c-e949-41ba-b05f-77c10c82e963,"I initiated a merchant‑issued refund on 15 April 2026 and, despite the stipulated processing period having elapsed, I have not observed the corresponding credit on my account statement; I would appreciate your assistance in investigating the status of this reimbursement.",Refund_not_showing_up,polite_expert
68bb48af-2c88-40d1-9abb-dbe10bab157f,"Yo, I asked for a refund from that shop a few days ago and it still ain’t showing up in my balance, what’s good?",Refund_not_showing_up,gen_z_slang
d9bdb3d0-7c98-421d-b53a-18b38eaea6e0,"Hey, I hit up the seller for a refund about a week ago and it’s still MIA on my account—can you look into why it hasn’t show up?",Refund_not_showing_up,gen_z_slang
