id,text,label,label_text,Quelle,persona,UMAP_X_Vorher,UMAP_Y_Vorher,UMAP_X_Nachher,UMAP_Y_Nachher
737caedb-fbd5-4fa6-a9fc-9170d67f566c,How do I locate my card?,11,card_arrival,Mensch,,4.9455223,-1.0288584,7.649921,3.2647107
1826e454-d132-49b9-b138-2be62886a179,"I still have not received my new card, I ordered over a week ago.",11,card_arrival,Mensch,,4.1435575,-1.6617948,6.3558445,2.5379343
7153a85f-f7a5-416c-89b8-0d3b11739bdf,I ordered a card but it has not arrived. Help please!,11,card_arrival,Mensch,,4.3249745,-1.4850198,6.7713118,2.836195
f8e0e21f-38df-4dea-bdf6-2badecd2e414,Is there a way to know when my card will arrive?,11,card_arrival,Mensch,,3.467674,-1.9138513,5.6546183,2.1472507
fa0b1066-3f17-478b-bc48-f74bb65a6290,My card has not arrived yet.,11,card_arrival,Mensch,,4.1784725,-1.6275967,6.3379035,2.5711617
22eb61f2-30f4-4649-b34b-b5e399ca9fc0,When will I get my card?,11,card_arrival,Mensch,,3.4968998,-1.8837372,5.7657185,2.1361942
511064d6-d41d-484e-a8ab-3cd28d371302,Do you know if there is a tracking number for the new card you sent me?,11,card_arrival,Mensch,,4.85972,-1.3162456,7.365685,3.2409704
e8403c79-5056-4a51-ac1c-1096a6df6937,i have not received my card,11,card_arrival,Mensch,,4.3841434,-1.4673027,6.8239822,2.7605677
8753c8b5-94c1-44a6-9157-dfa0dd4c329a,still waiting on that card,11,card_arrival,Mensch,,4.067889,-1.683733,6.277941,2.494837
0e573e76-c8c1-4e74-b59f-e48b4b918f9b,Is it normal to have to wait over a week for my new card?,11,card_arrival,Mensch,,3.650016,-1.7955612,5.94594,2.224849
3f6c9a8e-1986-4f49-83f8-f6022a6f9b9c,How do I track my card?,11,card_arrival,Mensch,,4.916335,-1.2456346,7.4078956,3.280483
e1f7ac44-2e2e-4b7c-8b6f-df36e41e699b,How long does a card delivery take?,11,card_arrival,Mensch,,3.4125748,-1.96018,5.616548,2.120963
0cb63fc6-8c81-4e47-84c3-dbb34bc088ea,I still don't have my card after 2 weeks.  What should I do?,11,card_arrival,Mensch,,4.7314806,0.013583356,8.172544,3.0974982
9b845a0e-e945-4a47-b1f9-bf51a0510ccb,still waiting on my new card,11,card_arrival,Mensch,,4.0351396,-1.6446373,6.259019,2.4717324
e7ed87d3-6138-4b5b-88b0-7412fc723c4d,I am still waiting for my card after 1 week.  Is this ok?,11,card_arrival,Mensch,,3.6644197,-1.7993397,5.932708,2.2456696
25661376-d37a-4203-bdf6-93d2fc220b85,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",11,card_arrival,Mensch,,3.6859875,-1.4089924,5.724415,2.333962
d010cd15-f536-4356-b361-936b263f3ff3,I've been waiting longer than expected for my card.,11,card_arrival,Mensch,,3.9412832,-1.6852311,6.178064,2.4095557
73814946-22b3-4f86-b8b9-92f1160c14e6,Why hasn't my card been delivered?,11,card_arrival,Mensch,,4.1565022,-1.5529957,6.4273853,2.575346
997febb6-dfc5-4d27-a964-fb9e2f7c99b7,Where is my new card? I have been waiting a week!,11,card_arrival,Mensch,,4.0851192,-1.586169,6.325866,2.513768
1b25af9b-cbb3-4899-9726-d6c7a614cec2,My card still hasn't arrived after 2 weeks. Is it lost?,11,card_arrival,Mensch,,4.5899887,-0.20808165,7.823419,3.0681772
f68776bc-a317-4801-9300-eaf203018341,"I did not get my card yet, is it lost?",11,card_arrival,Mensch,,4.6759777,-0.048524495,8.153342,3.0912955
3e1665d7-47e0-4077-aa70-3fe7dbefa7ee,Status of the card I ordered.,11,card_arrival,Mensch,,4.060131,-1.722367,6.2973423,2.5164855
30d6851a-ac8c-4d4d-8724-1fef1e6c69a7,How long should my new card take to arrive?,11,card_arrival,Mensch,,3.4707775,-1.8582246,5.760762,2.1861935
a02ef183-4b1f-4ffb-ba65-c53bf5279bc2,I ordered my card 2 weeks ago and it still isn't here? What do I do?,11,card_arrival,Mensch,,4.342581,-1.1003332,7.5645847,2.9936173
08c3a06c-2438-4abb-980e-6039b9c0b5f9,"My card has not arrived yet, where is it?",11,card_arrival,Mensch,,4.335914,-1.5258759,6.454683,2.663659
f5c75582-a4e5-4464-8f21-802044e42879,What is the tracking number for my card that was mailed?,11,card_arrival,Mensch,,4.838299,-1.2996141,7.337538,3.2632282
132c2bef-170d-4825-8e68-5bec826f3395,I think something went wrong with my card delivery as I haven't received it yet.,11,card_arrival,Mensch,,4.1540475,-1.5828005,6.3372645,2.528178
8b668502-d5a9-4875-8e17-fa530b679684,"I'm still waiting for delivery of my new card, why is it taking so long?",11,card_arrival,Mensch,,3.9630685,-1.6439524,6.139329,2.3767114
8dc99f7c-b5fd-49fb-8f8d-494f758f4424,"I ordered a card a week ago, and it's still not here. What do I do?",11,card_arrival,Mensch,,4.314141,-1.2183641,7.376043,2.9494615
9e3ec3a5-bb65-49e8-b038-7789f02fcff3,i want to track the card you sent,11,card_arrival,Mensch,,4.8660717,-1.3035372,7.361516,3.2798977
628b81da-7cc2-4eb6-beb7-e70b6fb8b035,My card hasn't arrived yet.,11,card_arrival,Mensch,,4.10412,-1.6449634,6.3361225,2.5340464
07ab0fd6-539d-432b-8008-83b795916719,I was expecting my new card and am wondering why I haven't received it yet?,11,card_arrival,Mensch,,4.0422287,-1.6417125,6.2706876,2.4759636
433f439a-f27b-4270-bfc2-518419cfd992,How do I know when my card will arrive?,11,card_arrival,Mensch,,3.4686375,-1.9190563,5.64073,2.1245184
b396bab0-d9f3-4414-8c01-84018c23f882,I'm still waiting on my card to be delivered.,11,card_arrival,Mensch,,4.0051675,-1.6891891,6.2262654,2.4569848
768a37be-d3f8-421b-b6da-7aae843531aa,Does the card you sent have a way to track to it?,11,card_arrival,Mensch,,4.8671513,-1.3137434,7.4007173,3.2640486
