id,text,label_text,persona,label
b244c98f-2ee9-498f-a281-ccf003da09c1,I've been staring at my account all damn day waiting for my cash back and nothing shows up—what the hell is going on?!,Refund_not_showing_up,angry_layperson,51
0e49c64b-7e35-430b-a901-ff26ea8f02c6,I asked that store to give me my money back weeks ago and it still ain't showing up in my account—fix this right now!,Refund_not_showing_up,angry_layperson,51
0d3f7385-6e87-47ae-a888-621fed64393f,"I've been waiting forever for that cash the store promised to give me back and it still ain't show up, what the hell is going on?",Refund_not_showing_up,angry_layperson,51
a87b5ff3-a03d-4774-b226-1e802e617b6b,I asked that shop to give me my cash back like two weeks ago and there’s still zero dollars in my account—what the hell is taking so long?!,Refund_not_showing_up,angry_layperson,51
51b22215-51de-49a1-86ce-418efa6efe37,I asked for my money back weeks ago and it’s still not in my account—what the hell is going on?!,Refund_not_showing_up,angry_layperson,51
cd8ea249-6702-4519-be41-5c08c4453790,"This is absurd—my refund from weeks ago still hasn't hit my balance, so sort it out immediately!",Refund_not_showing_up,angry_layperson,51
f1d69082-d993-477b-82b7-df302199b2fd,Refund due yesterday still not in account I need it now,Refund_not_showing_up,panicking_emergency,51
2aa3cd0d-90c0-4626-a998-965e62969773,Missing refund panic need it now check account now,Refund_not_showing_up,panicking_emergency,51
7907029b-e66a-40c2-8abd-112e972e9a1b,Refund missing from account yesterday promised today still not here need it now check urgently,Refund_not_showing_up,panicking_emergency,51
298b5087-5bef-462b-9d1d-b6ef5d7eb2cd,Refund promised yesterday still not in account need it now urgently,Refund_not_showing_up,panicking_emergency,51
163de63c-095f-438d-86c6-7ce95d5fdea5,Refund not in my balance I asked days ago I need it now check it,Refund_not_showing_up,panicking_emergency,51
f1268a0f-762c-4edc-89b2-2a7d2891505e,Refund still not in my account I need the money now,Refund_not_showing_up,panicking_emergency,51
21cb3af5-a4e3-4605-98ad-441719b6abef,"I am writing to inquire about the status of a refund that was issued by the merchant on [date]; despite the passage of the standard processing period, the credited amount has not yet appeared on my account statement, and I would appreciate your assistance in investigating and resolving this discrepancy.",Refund_not_showing_up,polite_expert,51
7b05fedb-4a47-4d51-991f-f272b179daf9,"I have confirmed with the merchant that a refund was issued, yet the corresponding credit has not appeared on my account statement.",Refund_not_showing_up,polite_expert,51
077e29f4-6f72-4c48-b075-98ba11782a6c,"I wish to inquire about the status of a refund that was processed by the merchant a week ago, as it has not yet appeared on my account statement despite the anticipated processing timeframe.",Refund_not_showing_up,polite_expert,51
